phosphopyruvate hydratase complex	GO:0000015
host chromosome	GO:0044383
host outer membrane	GO:0044384
integral to membrane of host cell	GO:0044385
integral to host endoplasmic reticulum membrane	GO:0044386
ribosomal subunit	GO:0044391
extracellular matrix component	GO:0044420
extracellular region part	GO:0044421
organelle part	GO:0044422
virion part	GO:0044423
intracellular part	GO:0044424
membrane part	GO:0044425
cell wall part	GO:0044426
chromosomal part	GO:0044427
nuclear part	GO:0044428
mitochondrial part	GO:0044429
cytoskeletal part	GO:0044430
Golgi apparatus part	GO:0044431
endoplasmic reticulum part	GO:0044432
cytoplasmic vesicle part	GO:0044433
chloroplast part	GO:0044434
plastid part	GO:0044435
thylakoid part	GO:0044436
vacuolar part	GO:0044437
microbody part	GO:0044438
endosomal part	GO:0044440
ciliary part	GO:0044441
pilus part	GO:0044443
cytoplasmic part	GO:0044444
cytosolic part	GO:0044445
intracellular organelle part	GO:0044446
axoneme part	GO:0044447
cell cortex part	GO:0044448
contractile fiber part	GO:0044449
microtubule organizing center part	GO:0044450
nucleoplasm part	GO:0044451
nucleolar part	GO:0044452
nuclear membrane part	GO:0044453
nuclear chromosome part	GO:0044454
mitochondrial membrane part	GO:0044455
synapse part	GO:0044456
cell septum part	GO:0044457
plasma membrane part	GO:0044459
bacterial-type flagellum part	GO:0044461
external encapsulating structure part	GO:0044462
cell projection part	GO:0044463
cell part	GO:0044464
supraspliceosomal complex	GO:0044530
host cell periphery	GO:0044538
NSL complex	GO:0044545
primary cell wall cellulose synthase complex	GO:0044567
secondary cell wall cellulose synthase complex	GO:0044568
[Ni-Fe] hydrogenase complex	GO:0044569
starch utilization system complex	GO:0044570
AP-5 adaptor complex	GO:0044599
DBIRD complex	GO:0044609
nuclear pore inner ring	GO:0044611
nuclear pore linkers	GO:0044612
nuclear pore cytoplasmic filaments	GO:0044614
nuclear pore nuclear basket	GO:0044615
host-symbiont tight junction	GO:0044647
MLL1/2 complex	GO:0044665
MLL3/4 complex	GO:0044666
acetyl-CoA decarbonylase/synthase-carbon monoxide dehydrogenase complex	GO:0044672
7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase complex	GO:0044673
methyl coenzyme M reductase complex	GO:0044674
formyl-methanofuran dehydrogenase (tungsten enzyme) complex	GO:0044675
formyl-methanofuran dehydrogenase (molybdenum enzyme) complex	GO:0044676
methyl-tetrahydromethanopterin:coenzyme M methyltransferase complex	GO:0044677
CoB-CoM heterodisulfide reductase complex	GO:0044678
methanophenazine reducing hydrogenase complex	GO:0044679
methylthiol:coenzyme M methyltransferase complex	GO:0044680
sulfopyruvate decarboxylase complex	GO:0044681
Dsc E3 ubiquitin ligase complex	GO:0044695
HICS complex	GO:0044697
Ost-alpha/Ost-beta complex	GO:0044731
mitotic spindle pole body	GO:0044732
amphisome	GO:0044753
autolysosome	GO:0044754
DNA polymerase III, beta sliding clamp processivity factor complex	GO:0044775
DNA polymerase III, core complex	GO:0044776
single-stranded DNA-binding protein complex	GO:0044777
DNA polymerase processivity factor complex	GO:0044796
cytoplasmic transcription factor complex	GO:0044797
nuclear transcription factor complex	GO:0044798
NarGHI complex	GO:0044799
DNA packaging complex	GO:0044815
Nsk1-Dlc1 complex	GO:0044816
retroviral intasome	GO:0044834
gut granule	GO:0044840
gut granule membrane	GO:0044841
gut granule lumen	GO:0044842
plasma membrane raft	GO:0044853
chitosome	GO:0045009
mitochondrial degradosome	GO:0045025
interleukin-18 receptor complex	GO:0045092
keratin filament	GO:0045095
intermediate filament cytoskeleton	GO:0045111
pronucleus	GO:0045120
membrane raft	GO:0045121
myosin I complex	GO:0045160
fusome	GO:0045169
spectrosome	GO:0045170
intercellular bridge	GO:0045171
germline ring canal	GO:0045172
apical part of cell	GO:0045177
basal part of cell	GO:0045178
apical cortex	GO:0045179
basal cortex	GO:0045180
synapse	GO:0045202
postsynaptic membrane	GO:0045211
tricarboxylic acid cycle enzyme complex	GO:0045239
cytosolic alpha-ketoglutarate dehydrogenase complex	GO:0045241
isocitrate dehydrogenase complex (NAD+)	GO:0045242
cytosolic isocitrate dehydrogenase complex (NAD+)	GO:0045243
succinate-CoA ligase complex (GDP-forming)	GO:0045244
cytosolic tricarboxylic acid cycle enzyme complex	GO:0045246
cytosolic electron transfer flavoprotein complex	GO:0045247
cytosolic oxoglutarate dehydrogenase complex	GO:0045248
cytosol pyruvate dehydrogenase (lipoamide) phosphatase complex	GO:0045249
cytosolic pyruvate dehydrogenase complex	GO:0045250
electron transfer flavoprotein complex	GO:0045251
pyruvate dehydrogenase (lipoamide) phosphatase complex	GO:0045253
succinate dehydrogenase complex (ubiquinone)	GO:0045257
plasma membrane succinate dehydrogenase complex (ubiquinone)	GO:0045258
proton-transporting ATP synthase complex	GO:0045259
plasma membrane proton-transporting ATP synthase complex	GO:0045260
proton-transporting ATP synthase complex, catalytic core F(1)	GO:0045261
plasma membrane proton-transporting ATP synthase complex, catalytic core F(1)	GO:0045262
plasma membrane proton-transporting ATP synthase complex, coupling factor F(o)	GO:0045264
proton-transporting ATP synthase, stator stalk	GO:0045265
plasma membrane proton-transporting ATP synthase, stator stalk	GO:0045266
proton-transporting ATP synthase, catalytic core	GO:0045267
plasma membrane proton-transporting ATP synthase, catalytic core	GO:0045268
proton-transporting ATP synthase, central stalk	GO:0045269
plasma membrane proton-transporting ATP synthase, central stalk	GO:0045270
respiratory chain complex I	GO:0045271
plasma membrane respiratory chain complex I	GO:0045272
respiratory chain complex II	GO:0045273
plasma membrane respiratory chain complex II	GO:0045274
respiratory chain complex III	GO:0045275
plasma membrane respiratory chain complex III	GO:0045276
respiratory chain complex IV	GO:0045277
plasma membrane respiratory chain complex IV	GO:0045278
succinate dehydrogenase complex	GO:0045281
plasma membrane succinate dehydrogenase complex	GO:0045282
fumarate reductase complex	GO:0045283
plasma membrane fumarate reductase complex	GO:0045284
mRNA editing complex	GO:0045293
tubulin complex	GO:0045298
chloroplast proton-transporting ATP synthase complex	GO:0045320
interleukin-1 receptor complex	GO:0045323
clathrin-coated endocytic vesicle	GO:0045334
phagocytic vesicle	GO:0045335
clathrin-coated phagocytic vesicle	GO:0045336
pole plasm	GO:0045495
dosage compensation complex	GO:0046536
U4/U6 x U5 tri-snRNP complex	GO:0046540
intercellular canaliculus	GO:0046581
lysosomal proton-transporting V-type ATPase, V0 domain	GO:0046610
lysosomal proton-transporting V-type ATPase, V1 domain	GO:0046612
intracellular canaliculus	GO:0046691
SLIK (SAGA-like) complex	GO:0046695
lipopolysaccharide receptor complex	GO:0046696
capsomere	GO:0046727
viral procapsid	GO:0046729
viral portal complex	GO:0046798
viral scaffold	GO:0046806
assemblon	GO:0046808
replication compartment	GO:0046809
virion transport vesicle	GO:0046816
dense nuclear body	GO:0046818
extrachromosomal DNA	GO:0046821
chlorosome	GO:0046858
hydrogenosomal membrane	GO:0046859
glycosome membrane	GO:0046860
glyoxysomal membrane	GO:0046861
chromoplast membrane	GO:0046862
mesosome	GO:0046868
apoplast	GO:0048046
activin receptor complex	GO:0048179
activin complex	GO:0048180
activin AB complex	GO:0048183
Set1C/COMPASS complex	GO:0048188
Lid2 complex	GO:0048189
pectic matrix	GO:0048217
glycoprotein network	GO:0048222
hemicellulose network	GO:0048223
lignin network	GO:0048224
suberin network	GO:0048225
Casparian strip	GO:0048226
rough endoplasmic reticulum lumen	GO:0048237
smooth endoplasmic reticulum lumen	GO:0048238
methionine adenosyltransferase complex	GO:0048269
primary endosperm nucleus	GO:0048353
perinuclear region of cytoplasm	GO:0048471
coated membrane	GO:0048475
Holliday junction resolvase complex	GO:0048476
ribulose bisphosphate carboxylase complex	GO:0048492
plasma membrane-derived thylakoid ribulose bisphosphate carboxylase complex	GO:0048493
chromatophore ribulose bisphosphate carboxylase complex	GO:0048494
signal recognition particle	GO:0048500
signal recognition particle, plasma membrane targeting	GO:0048501
microsporocyte nucleus	GO:0048556
pigment granule	GO:0048770
presynaptic active zone	GO:0048786
presynaptic active zone membrane	GO:0048787
presynaptic cytoskeletal matrix assembled at active zones	GO:0048788
secondary cell septum	GO:0051077
spindle midzone	GO:0051233
cell cortex of cell tip	GO:0051285
cell tip	GO:0051286
tRNA-specific adenosine-34 deaminase complex	GO:0052718
cortical microtubule	GO:0055028
nuclear DNA-directed RNA polymerase complex	GO:0055029
gamma-tubulin large complex, equatorial microtubule organizing center	GO:0055031
gamma-tubulin large complex, spindle pole body	GO:0055032
gamma-tubulin large complex, interphase microtubule organizing center	GO:0055033
plastid thylakoid membrane	GO:0055035
virion membrane	GO:0055036
recycling endosome	GO:0055037
recycling endosome membrane	GO:0055038
trichocyst	GO:0055039
periplasmic flagellum	GO:0055040
symplast	GO:0055044
ATP-binding cassette (ABC) transporter complex, integrated substrate binding	GO:0055051
ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0055052
Ski complex	GO:0055087
striated muscle dense body	GO:0055120
neurofilament cytoskeleton	GO:0060053
excitatory synapse	GO:0060076
inhibitory synapse	GO:0060077
kinocilium	GO:0060091
collagen and cuticulin-based cuticle extracellular matrix	GO:0060102
collagen and cuticulin-based cuticle extracellular matrix part	GO:0060103
surface coat of collagen and cuticulin-based cuticle extracellular matrix	GO:0060104
epicuticle of collagen and cuticulin-based cuticle extracellular matrix	GO:0060105
cortical layer of collagen and cuticulin-based cuticle extracellular matrix	GO:0060106
annuli extracellular matrix	GO:0060107
annular furrow extracellular matrix	GO:0060108
medial layer of collagen and cuticulin-based cuticle extracellular matrix	GO:0060109
basal layer of collagen and cuticulin-based cuticle extracellular matrix	GO:0060110
alae of collagen and cuticulin-based cuticle extracellular matrix	GO:0060111
ciliary membrane	GO:0060170
stereocilium membrane	GO:0060171
cell pole	GO:0060187
clathrin-sculpted vesicle	GO:0060198
clathrin-sculpted glutamate transport vesicle	GO:0060199
clathrin-sculpted acetylcholine transport vesicle	GO:0060200
clathrin-sculpted acetylcholine transport vesicle membrane	GO:0060201
clathrin-sculpted acetylcholine transport vesicle lumen	GO:0060202
clathrin-sculpted glutamate transport vesicle membrane	GO:0060203
clathrin-sculpted glutamate transport vesicle lumen	GO:0060204
cytoplasmic membrane-bounded vesicle lumen	GO:0060205
germ plasm	GO:0060293
photoreceptor inner segment membrane	GO:0060342
fertilization envelope	GO:0060387
vitelline envelope	GO:0060388
yolk	GO:0060417
yolk plasma	GO:0060418
cortical granule	GO:0060473
lipid tube	GO:0060987
type I terminal bouton	GO:0061174
type II terminal bouton	GO:0061175
type Ib terminal bouton	GO:0061176
type Is terminal bouton	GO:0061177
clathrin-sculpted gamma-aminobutyric acid transport vesicle	GO:0061200
clathrin-sculpted gamma-aminobutyric acid transport vesicle lumen	GO:0061201
clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	GO:0061202
integral component of muscle cell projection membrane	GO:0061455
plasma membrane part of cell-substrate junction.	GO:0061464
plasma membrane part of hemidesmosome	GO:0061465
plasma membrane part of cell junction	GO:0061466
karyomere	GO:0061468
phagolysosome membrane	GO:0061474
central plaque of mitotic spindle pole body	GO:0061493
gamma-tubulin large complex, mitotic spindle pole body	GO:0061494
gamma-tubulin small complex, mitotic spindle pole body	GO:0061495
half bridge of mitotic spindle pole body	GO:0061496
inner plaque of mitotic spindle pole body	GO:0061497
intermediate layer of mitotic spindle pole body	GO:0061498
outer plaque of mitotic spindle pole body	GO:0061499
ASAP complex	GO:0061574
acyl-CoA ceramide synthase complex	GO:0061576
MICOS complex	GO:0061617
sublamina densa	GO:0061618
CENP-A containing chromatin	GO:0061638
endocytic patch	GO:0061645
Cbp3p-Cbp6 complex	GO:0061671
glutathione hydrolase complex	GO:0061672
mitotic spindle astral microtubule	GO:0061673
extracellular membrane-bounded organelle	GO:0065010
intracellular organelle lumen	GO:0070013
sucrase-isomaltase complex	GO:0070014
alphav-beta3 integrin-thrombospondin complex	GO:0070017
transforming growth factor beta type I receptor homodimeric complex	GO:0070018
transforming growth factor beta type II receptor homodimeric complex	GO:0070019
transforming growth factor beta1-type II receptor complex	GO:0070020
transforming growth factor beta1-type II receptor-type I receptor complex	GO:0070021
transforming growth factor beta receptor homodimeric complex	GO:0070022
interleukin-12-interleukin-12 receptor complex	GO:0070023
CD19-Vav-PIK3R1 complex	GO:0070024
alphav-beta3 integrin-osteopontin complex	GO:0070029
alphav-beta1 integrin-osteopontin complex	GO:0070030
alphav-beta5 integrin-osteopontin complex	GO:0070031
synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex	GO:0070032
synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex	GO:0070033
synaptobrevin 2-SNAP-25-syntaxin-1a complex	GO:0070044
synaptobrevin 2-SNAP-25-syntaxin-2 complex	GO:0070045
synaptobrevin 2-SNAP-25-syntaxin-3 complex	GO:0070046
synaptobrevin 2-SNAP-25-syntaxin-4 complex	GO:0070047
endobrevin-SNAP-25-syntaxin-1a complex	GO:0070048
endobrevin-SNAP-25-syntaxin-2 complex	GO:0070049
prospore membrane leading edge	GO:0070056
prospore membrane spindle pole body attachment site	GO:0070057
extracellular exosome	GO:0070062
cellubrevin-VAMP4-syntaxin-16 complex	GO:0070065
cellubrevin-VAMP4-endobrevin-syntaxin-6 complex	GO:0070066
syntaxin-6-syntaxin-16-Vti1a complex	GO:0070067
VAMP4-syntaxin-6-syntaxin-16-Vti1a complex	GO:0070068
cytochrome complex	GO:0070069
mononeme	GO:0070074
clathrin-sculpted monoamine transport vesicle	GO:0070081
clathrin-sculpted monoamine transport vesicle lumen	GO:0070082
clathrin-sculpted monoamine transport vesicle membrane	GO:0070083
PHA granule	GO:0070088
metaphase plate	GO:0070090
ciliary neurotrophic factor receptor complex	GO:0070110
organellar chromatophore	GO:0070111
organellar chromatophore membrane	GO:0070112
organellar chromatophore inner membrane	GO:0070113
organellar chromatophore outer membrane	GO:0070114
organellar chromatophore intermembrane space	GO:0070115
organellar chromatophore thylakoid	GO:0070116
organellar chromatophore thylakoid lumen	GO:0070117
organellar chromatophore thylakoid membrane	GO:0070118
occluding junction	GO:0070160
anchoring junction	GO:0070161
DRM complex	GO:0070176
telosome	GO:0070187
Stn1-Ten1 complex	GO:0070188
growth hormone receptor complex	GO:0070195
ASTRA complex	GO:0070209
Rpd3L-Expanded complex	GO:0070210
Snt2C complex	GO:0070211
CSK-GAP-A.p62 complex	GO:0070214
mating projection membrane	GO:0070250
inner membrane complex	GO:0070258
external side of fungal-type cell wall	GO:0070263
transcription factor TFIIIE complex	GO:0070264
RES complex	GO:0070274
ferritin complex	GO:0070288
extracellular ferritin complex	GO:0070289
ATR-ATRIP complex	GO:0070310
nucleosomal methylation activator complex	GO:0070311
RAD52-ERCC4-ERCC1 complex	GO:0070312
RGS6-DNMT1-DMAP1 complex	GO:0070313
Golgi to plasma membrane transport vesicle	GO:0070319
CD20-Lck-Fyn complex	GO:0070331
CD20-Lck-Lyn-Fyn complex	GO:0070332
alpha6-beta4 integrin-Shc-Grb2 complex	GO:0070333
alpha6-beta4 integrin-laminin 5 complex	GO:0070334
GATA1-TAL1-TCF3-Lmo2 complex	GO:0070353
GATA2-TAL1-TCF3-Lmo2 complex	GO:0070354
synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Rab3a-complexin II complex	GO:0070355
synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Rab3a complex	GO:0070356
alphav-beta3 integrin-CD47 complex	GO:0070357
beta-catenin-TCF7L2 complex	GO:0070369
endosome to plasma membrane transport vesicle	GO:0070381
exocytic vesicle	GO:0070382
egasyn-beta-glucuronidase complex	GO:0070385
procollagen-proline 4-dioxygenase complex, alpha(I) type	GO:0070386
procollagen-proline 4-dioxygenase complex, alpha(II) type	GO:0070387
procollagen-proline 4-dioxygenase complex, alpha(III) type	GO:0070388
transcription export complex 2	GO:0070390
DNA-dependent protein kinase complex	GO:0070418
nonhomologous end joining complex	GO:0070419
Ku-DNA ligase complex	GO:0070420
DNA ligase III-XRCC1 complex	GO:0070421
G-protein beta/gamma-Raf-1 complex	GO:0070422
Shc-EGFR complex	GO:0070435
Grb2-EGFR complex	GO:0070436
Grb2-Shc complex	GO:0070437
Mad-Max-mSin3A complex	GO:0070439
Mad-Max-mSin3B complex	GO:0070440
G-protein beta/gamma-Btk complex	GO:0070441
integrin alphaIIb-beta3 complex	GO:0070442
Mad-Max complex	GO:0070443
elongin complex	GO:0070449
interleukin4-interleukin-4 receptor complex	GO:0070450
cell hair	GO:0070451
SAGA-type complex	GO:0070461
alphav-beta3 integrin-collagen alpha3(VI) complex	GO:0070464
alpha1-beta1 integrin-alpha3(VI) complex	GO:0070465
alpha2-beta1 integrin-alpha3(VI) complex	GO:0070466
RC-1 DNA recombination complex	GO:0070467
respiratory chain	GO:0070469
plasma membrane respiratory chain	GO:0070470
endospore core	GO:0070477
pollen coat	GO:0070505
SRF-myogenin-E12 complex	GO:0070514
alphaIIb-beta3 integrin-talin complex	GO:0070515
CAK-ERCC2 complex	GO:0070516
DNA replication factor C core complex	GO:0070517
alpha4-beta1 integrin-CD53 complex	GO:0070518
alpha4-beta1 integrin-CD63 complex	GO:0070519
alpha4-beta1 integrin-CD81 complex	GO:0070520
alpha4-beta1 integrin-CD82 complex	GO:0070521
ERCC4-ERCC1 complex	GO:0070522
BRCA1-A complex	GO:0070531
BRCA1-B complex	GO:0070532
BRCA1-C complex	GO:0070533
PeBoW complex	GO:0070545
BRISC complex	GO:0070552
synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex	GO:0070554
TAF4B-containing transcription factor TFIID complex	GO:0070556
PCNA-p21 complex	GO:0070557
alphaM-beta2 integrin-CD63 complex	GO:0070558
lysosomal multienzyme complex	GO:0070559
telomere-telomerase complex	GO:0070565
RISC-loading complex	GO:0070578
SWI/SNF superfamily-type complex	GO:0070603
PBAF complex	GO:0070604
Grb2-Sos complex	GO:0070618
Shc-Grb2-Sos complex	GO:0070619
EGFR-Grb2-Sos complex	GO:0070620
EGFR-Shc-Grb2-Sos complex	GO:0070621
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase complex	GO:0070622
Ubisch body	GO:0070645
formin-nucleated actin cable	GO:0070648
HAUS complex	GO:0070652
macropinocytic cup	GO:0070685
macropinocytic cup membrane	GO:0070686
macropinocytic cup cytoskeleton	GO:0070687
MLL5-L complex	GO:0070688
dimeric positive transcription elongation factor complex b	GO:0070691
trimeric positive transcription elongation factor complex b	GO:0070692
P-TEFb-cap methyltransferase complex	GO:0070693
FHF complex	GO:0070695
mucus layer	GO:0070701
inner mucus layer	GO:0070702
outer mucus layer	GO:0070703
alphaPDGFR-SHP-2 complex	GO:0070718
alphaPDGFR-PLC-gamma-1-PI3K-SHP-2 complex	GO:0070719
Grb2-SHP-2 complex	GO:0070720
ISGF3 complex	GO:0070721
Tle3-Aes complex	GO:0070722
BMP receptor complex	GO:0070724
Yb body	GO:0070725
spindle envelope	GO:0070732
interleukin-23 complex	GO:0070743
interleukin-27 complex	GO:0070744
interleukin-35 complex	GO:0070745
pre-snoRNP complex	GO:0070761
nuclear pore transmembrane ring	GO:0070762
Delta1 complex	GO:0070763
gamma-secretase-Delta1 complex	GO:0070764
gamma-secretase complex	GO:0070765
endobrevin-synaptobrevin 2-alpha-SNAP-NSF-syntaxin-4 complex	GO:0070766
BRCA1-Rad51 complex	GO:0070767
synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Unc13 complex	GO:0070768
alphaIIb-beta3 integrin-CIB complex	GO:0070769
alphaIIb-beta3 integrin-CD47-FAK complex	GO:0070770
alphaIIb-beta3 integrin-CD47-Src complex	GO:0070771
PAS complex	GO:0070772
H3 histone acetyltransferase complex	GO:0070775
MOZ/MORF histone acetyltransferase complex	GO:0070776
tertiary granule	GO:0070820
tertiary granule membrane	GO:0070821
Sin3-type complex	GO:0070822
HDA1 complex	GO:0070823
SHREC complex	GO:0070824
micropyle	GO:0070825
paraferritin complex	GO:0070826
core mediator complex	GO:0070847
TACC/TOG complex	GO:0070850
cell body fiber	GO:0070852
RNA polymerase I core factor complex	GO:0070860
sperm individualization complex	GO:0070864
investment cone	GO:0070865
mating projection tip membrane	GO:0070867
SOSS complex	GO:0070876
microprocessor complex	GO:0070877
Ddb1-Ckn1 complex	GO:0070912
Ddb1-Wdr21 complex	GO:0070913
inositol phosphoceramide synthase complex	GO:0070916
Golgi-associated vesicle lumen	GO:0070931
CRD-mediated mRNA stability complex	GO:0070937
contractile ring	GO:0070938
Dsl1p complex	GO:0070939
ULK1-ATG13-FIP200 complex	GO:0070969
endoplasmic reticulum exit site	GO:0070971
TFIIK complex	GO:0070985
translation initiation complex	GO:0070992
translation preinitiation complex	GO:0070993
U4/U6 snRNP	GO:0071001
U4atac/U6atac snRNP	GO:0071002
penta-snRNP complex	GO:0071003
U2-type prespliceosome	GO:0071004
U2-type precatalytic spliceosome	GO:0071005
U2-type catalytic step 1 spliceosome	GO:0071006
U2-type catalytic step 2 spliceosome	GO:0071007
U2-type post-mRNA release spliceosomal complex	GO:0071008
U4atac/U6atac x U5 tri-snRNP complex	GO:0071009
prespliceosome	GO:0071010
precatalytic spliceosome	GO:0071011
catalytic step 1 spliceosome	GO:0071012
catalytic step 2 spliceosome	GO:0071013
post-mRNA release spliceosomal complex	GO:0071014
U12-type prespliceosome	GO:0071015
U12-type precatalytic spliceosome	GO:0071016
U12-type catalytic step 1 spliceosome	GO:0071017
U12-type catalytic step 2 spliceosome	GO:0071018
U12-type post-mRNA release spliceosomal complex	GO:0071019
post-spliceosomal complex	GO:0071020
U2-type post-spliceosomal complex	GO:0071021
U12-type post-spliceosomal complex	GO:0071022
trans spliceosomal complex	GO:0071023
SL snRNP	GO:0071024
alpha9-beta1 integrin-ADAM1 complex	GO:0071052
alpha9-beta1 integrin-ADAM2 complex	GO:0071053
alpha9-beta1 integrin-ADAM3 complex	GO:0071054
alpha9-beta1 integrin-ADAM9 complex	GO:0071055
alpha9-beta1 integrin-ADAM15 complex	GO:0071056
alphav-beta3 integrin-ADAM15 complex	GO:0071057
alpha3-beta1 integrin-CD151 complex	GO:0071058
alpha6-beta1 integrin-CD151 complex	GO:0071059
alpha7-beta1 integrin-CD151 complex	GO:0071060
alpha6-beta4 integrin-CD151 complex	GO:0071061
alphav-beta3 integrin-vitronectin complex	GO:0071062
alphaE-beta7 integrin-E-cadherin complex	GO:0071064
alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex	GO:0071065
alphav-beta3 integrin-ADAM23 complex	GO:0071067
alpha9-beta1 integrin-ADAM12 complex	GO:0071068
alpha4-beta1 integrin-thrombospondin-1 complex	GO:0071069
alpha4-beta1 integrin-thrombospondin-2 complex	GO:0071070
CUGBP1-eIF2 complex	GO:0071075
fibronectin-tissue transglutaminase complex	GO:0071078
alpha2-beta1 integrin-chondroadherin complex	GO:0071079
alpha3-beta1 integrin-basigin complex	GO:0071080
alpha3-beta1 integrin-CD63 complex	GO:0071081
alpha9-beta1 integrin-tenascin complex	GO:0071082
alphaV-beta3 integrin-CD47-FCER2 complex	GO:0071083
alpha2-beta1 integrin-CD47 complex	GO:0071084
alphaIIb-beta3 integrin-CD9 complex	GO:0071085
alphaIIb-beta3 integrin-CD9-CD47-platelet glycoprotein Ib complex	GO:0071086
alpha11-beta1 integrin-collagen type I complex	GO:0071087
alpha5-beta1 integrin-tissue transglutaminase complex	GO:0071088
alphaV-beta3 integrin-tissue transglutaminase complex	GO:0071089
alphaIIb-beta3 integrin-fibronectin-tissue transglutaminase complex	GO:0071090
alpha1-beta1 integrin-tissue transglutaminase complex	GO:0071091
alpha3-beta1 integrin-tissue transglutaminase complex	GO:0071092
alpha5-beta1 integrin-fibronectin-tissue transglutaminase complex	GO:0071093
alpha6-beta4 integrin-CD9 complex	GO:0071094
alpha3-beta1 integrin-thrombospondin complex	GO:0071095
alphaV-beta3 integrin-gelsolin complex	GO:0071096
alphaV-beta3 integrin-paxillin-Pyk2 complex	GO:0071097
alpha6-beta4 integrin-Fyn complex	GO:0071098
alphaV-beta6 integrin-TGFbeta-3 complex	GO:0071099
alphaV-beta8 integrin-MMP14-TGFbeta-1 complex	GO:0071100
alpha4-beta1 integrin-JAM2 complex	GO:0071101
alpha4-beta1 integrin-paxillin complex	GO:0071102
alpha4-beta4 integrin-EMILIN-1 complex	GO:0071112
alphaIIb-beta3 integrin-ICAM-4 complex	GO:0071113
alphaV-beta3 integrin-tumstatin complex	GO:0071114
alpha5-beta1 integrin-endostatin complex	GO:0071115
alpha6-beta1 integrin-CYR61 complex	GO:0071116
alpha5-beta1 integrin-fibronectin-NOV complex	GO:0071117
alphaV-beta3 integrin-NOV complex	GO:0071118
alpha7-beta1 integrin-nicotinamide riboside kinase complex	GO:0071119
alpha4-beta1 integrin-CD47 complex	GO:0071120
alpha9-beta1 integrin-VEGF-D complex	GO:0071121
alpha9-beta1 integrin-VEGF-A complex	GO:0071122
alpha9-beta1 integrin-VEGF-C complex	GO:0071123
alpha1-beta1 integrin-tyrosine-protein phosphatase non-receptor type 2 complex	GO:0071124
alphaV-beta3 integrin-EGFR complex	GO:0071125
alphaV-beta6 integrin-osteopontin complex	GO:0071126
alpha9-beta1 integrin-osteopontin complex	GO:0071127
alpha5-beta1 integrin-osteopontin complex	GO:0071128
alphaV-beta3 integrin-LPP3 complex	GO:0071129
alpha5-beta1 integrin-LPP3 complex	GO:0071130
alphaV-beta3 integrin-laminin alpha-4 complex	GO:0071131
alphaX-beta2 integrin-ICAM-4 complex	GO:0071132
alpha9-beta1 integrin-ADAM8 complex	GO:0071133
alpha9-beta1 integrin-thrombospondin-1 complex	GO:0071134
alpha7-beta1 integrin-focal adhesion kinase complex	GO:0071135
alpha7-beta1 integrin-laminin alpha-2 complex	GO:0071136
alphaV-beta3 integrin-CD98 complex	GO:0071137
alpha5-beta5-fibronectin-SFRP2 complex	GO:0071138
SMAD protein complex	GO:0071141
SMAD2 protein complex	GO:0071142
SMAD3 protein complex	GO:0071143
SMAD2-SMAD3 protein complex	GO:0071144
SMAD2-SMAD4 protein complex	GO:0071145
SMAD3-SMAD4 protein complex	GO:0071146
TEAD-2 multiprotein complex	GO:0071147
TEAD-1-YAP complex	GO:0071148
TEAD-2-YAP complex	GO:0071149
TEAD-3-YAP complex	GO:0071150
TEAD-4-YAP complex	GO:0071151
G-protein alpha(q)-synembrin complex	GO:0071152
G-protein alpha(o)-synembrin complex	GO:0071153
G-protein alpha(i)1-synembrin complex	GO:0071154
G-protein alpha(13)-synembrin complex	GO:0071155
NF-kappaB complex	GO:0071159
CMG complex	GO:0071162
MAML2-RBP-Jkappa-ICN1 complex	GO:0071175
MAML2-RBP-Jkappa-ICN2 complex	GO:0071176
MAML2-RBP-Jkappa-ICN3 complex	GO:0071177
MAML2-RBP-Jkappa-ICN4 complex	GO:0071178
MAML3-RBP-Jkappa-ICN1 complex	GO:0071179
MAML3-RBP-Jkappa-ICN2 complex	GO:0071180
MAML3-RBP-Jkappa-ICN3 complex	GO:0071181
MAML3-RBP-Jkappa-ICN4 complex	GO:0071182
protocadherin-alpha-protocadherin-gamma complex	GO:0071183
protocadherin-alpha-v4-protocadherin-gamma-a1 complex	GO:0071184
protocadherin-alpha-v4-protocadherin-gamma-a3 complex	GO:0071185
protocadherin-alpha-v4-protocadherin-gamma-b2 complex	GO:0071186
protocadherin-alpha-v4-protocadherin-gamma-b4 complex	GO:0071187
protocadherin-alpha-v7-protocadherin-gamma-a1 complex	GO:0071188
protocadherin-alpha-v7-protocadherin-gamma-a3 complex	GO:0071189
protocadherin-alpha-v7-protocadherin-gamma-b2 complex	GO:0071190
protocadherin-alpha-v7-protocadherin-gamma-b4 complex	GO:0071191
Kv4.2-KChIP1 channel complex	GO:0071192
